dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000,1,0.001672,2.643314,2.637,2.918,0.011,90.76
50000,1,0.001423,2.633818,2.628,2.647,0.010,99.65
50000,1,0.001430,2.641231,2.634,2.656,0.011,99.58
50000,1,0.001668,2.625500,2.623,2.637,0.007,99.73
50000,1,0.001449,2.627965,2.625,2.639,0.007,99.73
50000,1,0.001601,2.635634,2.633,2.647,0.007,99.73
50000,1,0.001547,2.605028,2.600,2.619,0.009,99.65
50000,1,0.001425,2.623527,2.618,2.636,0.009,99.67
50000,1,0.001541,2.572431,2.571,2.582,0.006,99.79
50000,1,0.001427,2.634217,2.632,2.645,0.006,99.75
50000,1,0.001547,2.632810,2.627,2.656,0.010,99.30
50000,1,0.001627,2.646579,2.638,2.663,0.013,99.56
50000,1,0.002002,2.828732,2.793,2.920,0.041,97.03
50000,1,0.001584,2.702909,2.684,2.739,0.023,98.83
50000,1,0.001547,2.594175,2.591,2.606,0.008,99.69
50000,1,0.001587,2.579038,2.577,2.590,0.006,99.72
50000,1,0.001476,2.706830,2.690,2.737,0.021,99.05
50000,1,0.001477,2.675600,2.664,2.703,0.015,99.15
50000,1,0.001494,2.656958,2.649,2.677,0.012,99.38
50000,1,0.001375,2.767576,2.749,2.812,0.022,98.58
50000,1,0.002096,2.836758,2.806,2.917,0.037,97.46
50000,1,0.001696,2.723870,2.705,2.760,0.024,98.87
50000,1,0.001726,2.627040,2.621,2.652,0.011,99.23
50000,1,0.001565,2.611594,2.609,2.624,0.008,99.72
50000,1,0.001595,2.598048,2.596,2.608,0.006,99.76
50000,1,0.001618,2.609994,2.607,2.621,0.007,99.72
50000,1,0.001552,2.590847,2.588,2.602,0.007,99.72
50000,1,0.001410,2.601122,2.598,2.612,0.007,99.71
50000,1,0.001749,2.591765,2.588,2.605,0.008,99.64
50000,1,0.001568,2.592485,2.589,2.604,0.007,99.73
50000,1,0.001495,2.590466,2.587,2.601,0.007,99.75
50000,1,0.001669,2.593548,2.592,2.606,0.007,99.73
50000,1,0.001409,2.615166,2.613,2.625,0.006,99.77
50000,1,0.001473,2.585647,2.584,2.596,0.006,99.76
50000,1,0.001474,2.567875,2.567,2.577,0.005,99.81
50000,1,0.001500,2.603834,2.600,2.617,0.008,99.64
50000,1,0.001501,2.609510,2.606,2.624,0.007,99.59
50000,1,0.001477,2.601878,2.599,2.612,0.007,99.76
50000,1,0.001544,2.596459,2.594,2.606,0.006,99.80
50000,1,0.001557,2.635883,2.633,2.648,0.007,99.71
50000,1,0.001450,2.625308,2.624,2.647,0.006,99.35
50000,1,0.001489,2.597779,2.596,2.608,0.006,99.75
50000,1,0.001434,2.613704,2.611,2.625,0.007,99.73
50000,1,0.001565,2.623281,2.621,2.634,0.007,99.75
50000,1,0.001591,2.602056,2.599,2.615,0.008,99.66
50000,1,0.001426,2.623096,2.620,2.634,0.007,99.72
50000,1,0.001548,2.631940,2.627,2.646,0.009,99.61
50000,1,0.001486,2.617342,2.614,2.629,0.007,99.70
50000,1,0.001568,2.623898,2.621,2.636,0.007,99.69
50000,1,0.001429,2.608383,2.607,2.618,0.005,99.78
