dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000,4,0.002576,2.879008,2.872,0.733,0.012,100.00
50000,4,0.002712,2.789744,2.788,0.706,0.007,100.00
50000,4,0.002747,2.807409,2.806,0.710,0.007,100.00
50000,4,0.002591,2.797895,2.796,0.707,0.008,100.00
50000,4,0.002585,2.835330,2.833,0.717,0.008,100.00
50000,4,0.002759,2.990405,2.988,0.761,0.008,100.00
50000,4,0.002613,2.892422,2.890,0.733,0.008,100.00
50000,4,0.002530,2.773132,2.771,0.701,0.008,100.00
50000,4,0.002569,2.785974,2.784,0.704,0.007,100.00
50000,4,0.002392,2.801143,2.798,0.709,0.008,100.00
50000,4,0.002601,2.821151,2.819,0.713,0.008,100.00
50000,4,0.002499,2.799061,2.797,0.708,0.008,100.00
50000,4,0.002454,2.785677,2.784,0.704,0.007,100.00
50000,4,0.002408,2.778213,2.776,0.702,0.007,100.00
50000,4,0.002572,2.804204,2.802,0.709,0.008,100.00
50000,4,0.002566,2.784069,2.783,0.704,0.007,100.00
50000,4,0.002380,2.778208,2.777,0.702,0.007,100.00
50000,4,0.002439,2.784852,2.783,0.704,0.007,100.00
50000,4,0.002472,2.809173,2.807,0.711,0.008,100.00
50000,4,0.002401,2.788981,2.787,0.705,0.007,100.00
50000,4,0.002533,2.776406,2.775,0.702,0.008,100.00
50000,4,0.002747,2.789009,2.787,0.705,0.008,100.00
50000,4,0.002633,2.827076,2.824,0.715,0.009,100.00
50000,4,0.002476,2.808790,2.807,0.711,0.008,100.00
50000,4,0.002446,2.776446,2.776,0.702,0.007,100.00
50000,4,0.002374,2.795262,2.794,0.707,0.007,100.00
50000,4,0.002429,2.783763,2.783,0.704,0.007,100.00
50000,4,0.002589,2.752954,2.753,0.696,0.006,100.00
50000,4,0.002740,2.834450,2.833,0.717,0.008,100.00
50000,4,0.002625,2.817137,2.812,0.716,0.011,100.00
50000,4,0.002521,2.823201,2.820,0.714,0.008,100.00
50000,4,0.002598,2.775672,2.775,0.702,0.007,100.00
50000,4,0.002528,2.772563,2.772,0.701,0.006,100.00
50000,4,0.002353,2.780079,2.779,0.703,0.007,100.00
50000,4,0.002394,2.813376,2.813,0.711,0.006,100.00
50000,4,0.002410,2.771579,2.771,0.700,0.006,100.00
50000,4,0.002415,2.785336,2.784,0.705,0.007,100.00
50000,4,0.002513,2.883372,2.880,0.731,0.009,100.00
50000,4,0.002457,2.804067,2.801,0.710,0.009,100.00
50000,4,0.002543,2.786173,2.785,0.704,0.007,100.00
50000,4,0.002443,2.789177,2.782,0.706,0.012,100.00
50000,4,0.002384,2.772997,2.772,0.701,0.006,100.00
50000,4,0.002636,2.782621,2.781,0.704,0.008,100.00
50000,4,0.002586,2.812663,2.811,0.711,0.007,100.00
50000,4,0.002551,2.783835,2.783,0.704,0.007,100.00
50000,4,0.002828,2.784329,2.784,0.704,0.007,100.00
50000,4,0.002576,2.818866,2.817,0.713,0.007,100.00
50000,4,0.002536,2.779790,2.778,0.704,0.007,100.00
50000,4,0.002568,2.763789,2.763,0.699,0.006,100.00
50000,4,0.002604,2.769940,2.769,0.700,0.006,100.00
