dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000,4,0.002416,2.811771,2.808,0.712,0.009,100.00
50000,4,0.002696,2.773450,2.772,0.701,0.007,100.00
50000,4,0.002696,2.783323,2.782,0.704,0.007,100.00
50000,4,0.002606,2.806849,2.805,0.709,0.007,100.00
50000,4,0.002583,2.810364,2.809,0.710,0.008,100.00
50000,4,0.002550,3.023679,3.018,0.766,0.012,100.00
50000,4,0.002517,2.992816,2.990,0.757,0.008,100.00
50000,4,0.002529,2.885680,2.884,0.730,0.008,100.00
50000,4,0.002620,2.799589,2.794,0.712,0.012,100.00
50000,4,0.002416,2.812798,2.810,0.711,0.008,100.00
50000,4,0.002692,2.796235,2.794,0.707,0.008,100.00
50000,4,0.002704,2.786322,2.785,0.704,0.007,100.00
50000,4,0.002617,2.798176,2.796,0.708,0.008,100.00
50000,4,0.002516,2.799768,2.798,0.707,0.007,100.00
50000,4,0.002423,2.830916,2.827,0.716,0.009,100.00
50000,4,0.002546,2.843729,2.842,0.720,0.008,100.00
50000,4,0.002684,2.877177,2.874,0.729,0.010,100.00
50000,4,0.002395,2.745675,2.744,0.694,0.007,100.00
50000,4,0.002539,2.737639,2.736,0.692,0.007,100.00
50000,4,0.002582,2.775377,2.774,0.702,0.007,100.00
50000,4,0.002670,2.769277,2.769,0.700,0.006,100.00
50000,4,0.002512,2.777225,2.776,0.702,0.007,100.00
50000,4,0.002361,2.807524,2.806,0.709,0.007,100.00
50000,4,0.002611,2.786339,2.785,0.704,0.007,100.00
50000,4,0.002434,2.774517,2.774,0.701,0.006,100.00
50000,4,0.002416,2.828317,2.825,0.715,0.009,100.00
50000,4,0.002705,2.770094,2.768,0.702,0.009,100.00
50000,4,0.002613,2.771128,2.771,0.700,0.006,100.00
50000,4,0.002420,2.906100,2.903,0.736,0.009,100.00
50000,4,0.002707,2.818165,2.817,0.713,0.008,100.00
50000,4,0.002726,2.823861,2.823,0.715,0.007,100.00
50000,4,0.002599,2.795598,2.794,0.707,0.007,100.00
50000,4,0.002353,2.817757,2.815,0.713,0.008,100.00
50000,4,0.002604,2.782225,2.780,0.704,0.009,100.00
50000,4,0.002423,2.732316,2.731,0.691,0.007,100.00
50000,4,0.002472,2.753362,2.753,0.696,0.006,100.00
50000,4,0.002588,2.770513,2.770,0.700,0.007,100.00
50000,4,0.002695,2.808268,2.805,0.714,0.010,100.00
50000,4,0.002408,2.800593,2.799,0.708,0.008,100.00
50000,4,0.002393,2.866054,2.863,0.728,0.009,100.00
50000,4,0.002663,2.791399,2.790,0.706,0.007,100.00
50000,4,0.002591,2.869260,2.867,0.726,0.008,100.00
50000,4,0.002539,2.803041,2.800,0.709,0.009,100.00
50000,4,0.002561,2.803039,2.800,0.709,0.009,100.00
50000,4,0.002606,2.844283,2.841,0.720,0.009,100.00
50000,4,0.002441,2.780127,2.778,0.703,0.007,100.00
50000,4,0.002399,2.824533,2.822,0.716,0.009,100.00
50000,4,0.002629,2.818769,2.817,0.713,0.008,100.00
50000,4,0.002685,2.837761,2.836,0.718,0.007,100.00
50000,4,0.002607,2.760363,2.760,0.698,0.006,100.00
