dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000,16,0.004601,4.989667,4.946,0.681,0.053,100.00
50000,16,0.004325,4.979789,4.949,0.674,0.040,100.00
50000,16,0.004799,4.972654,4.951,0.671,0.031,100.00
50000,16,0.004566,4.966060,4.930,0.686,0.046,100.00
50000,16,0.004489,4.982361,4.941,0.694,0.051,100.00
50000,16,0.004408,4.968046,4.937,0.687,0.040,100.00
50000,16,0.004629,4.974261,4.949,0.672,0.035,100.00
50000,16,0.005007,4.973152,4.949,0.676,0.035,100.00
50000,16,0.004580,4.982039,4.947,0.672,0.045,100.00
50000,16,0.004484,4.988275,4.953,0.672,0.045,100.00
50000,16,0.003895,4.991975,4.950,0.676,0.051,100.00
50000,16,0.004658,4.969205,4.948,0.676,0.031,100.00
50000,16,0.004280,4.969093,4.947,0.670,0.032,100.00
50000,16,0.004641,4.969465,4.949,0.674,0.030,100.00
50000,16,0.004632,4.986907,4.957,0.672,0.040,100.00
50000,16,0.004516,4.990019,4.948,0.676,0.051,100.00
50000,16,0.004552,4.972064,4.944,0.672,0.038,100.00
50000,16,0.004453,4.971393,4.955,0.665,0.027,100.00
50000,16,0.004801,4.943882,4.904,0.693,0.049,100.00
50000,16,0.004132,4.953388,4.920,0.662,0.043,100.00
50000,16,0.004827,4.975402,4.938,0.664,0.048,100.00
50000,16,0.004331,4.967482,4.933,0.716,0.044,100.00
50000,16,0.003997,4.940024,4.915,0.671,0.033,100.00
50000,16,0.004859,4.959018,4.936,0.668,0.033,100.00
50000,16,0.004315,4.963283,4.945,0.674,0.028,100.00
50000,16,0.004425,4.988319,4.945,0.673,0.053,100.00
50000,16,0.004202,4.991126,4.952,0.673,0.048,100.00
50000,16,0.004562,4.992200,4.955,0.678,0.047,100.00
50000,16,0.004684,4.958035,4.939,0.678,0.029,100.00
50000,16,0.004780,4.984877,4.950,0.674,0.046,100.00
50000,16,0.004500,4.963271,4.949,0.670,0.023,100.00
50000,16,0.004704,4.980114,4.951,0.673,0.038,100.00
50000,16,0.004710,4.972755,4.944,0.678,0.039,100.00
50000,16,0.004634,4.987312,4.956,0.672,0.041,100.00
50000,16,0.004191,4.987387,4.951,0.673,0.045,100.00
50000,16,0.004476,4.983965,4.951,0.672,0.042,100.00
50000,16,0.004670,4.988219,4.955,0.672,0.043,100.00
50000,16,0.004368,4.984853,4.934,0.683,0.060,100.00
50000,16,0.004538,5.002345,4.952,0.678,0.060,100.00
50000,16,0.004746,4.996153,4.941,0.685,0.066,100.00
50000,16,0.004489,4.968640,4.939,0.678,0.039,100.00
50000,16,0.004617,4.964241,4.949,0.671,0.025,100.00
50000,16,0.004699,4.980374,4.954,0.674,0.036,100.00
50000,16,0.004538,4.988076,4.953,0.673,0.045,100.00
50000,16,0.004633,4.978540,4.950,0.674,0.038,100.00
50000,16,0.003906,4.985072,4.948,0.675,0.046,100.00
50000,16,0.004536,4.986791,4.956,0.672,0.041,100.00
50000,16,0.004757,4.988125,4.946,0.680,0.051,100.00
50000,16,0.004571,4.992254,4.945,0.693,0.057,100.00
50000,16,0.004607,4.977453,4.950,0.672,0.037,100.00
