dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000000,16,4.657820,2.533542,5.645,1.775,1.578,100.00
50000000,16,4.772545,2.357612,5.771,1.837,1.390,100.00
50000000,16,4.643639,2.534469,5.622,1.781,1.587,100.00
50000000,16,4.932932,2.372848,5.932,1.793,1.411,100.00
50000000,16,4.772733,2.397255,5.768,1.797,1.431,100.00
50000000,16,4.537281,2.359954,5.511,1.784,1.419,100.00
50000000,16,4.945626,2.569508,5.931,1.754,1.616,100.00
50000000,16,4.967087,2.558343,5.956,1.770,1.600,100.00
50000000,16,4.863349,2.571017,5.863,1.772,1.604,100.00
50000000,16,4.829839,2.565629,5.818,1.778,1.614,100.00
50000000,16,4.891958,2.550320,5.886,1.782,1.591,100.00
50000000,16,4.797725,2.585114,5.780,1.773,1.638,100.00
50000000,16,4.878676,2.435954,5.846,1.817,1.501,100.00
50000000,16,4.894490,2.589839,5.890,1.770,1.631,100.00
50000000,16,4.861724,2.451355,5.865,1.773,1.482,100.00
50000000,16,4.825277,2.576296,5.815,1.786,1.619,100.00
50000000,16,4.742883,2.591154,5.738,1.780,1.634,100.00
50000000,16,4.872570,2.567387,5.864,1.763,1.613,100.00
50000000,16,4.988380,2.605214,5.993,1.776,1.637,100.00
50000000,16,4.366653,2.341322,5.384,1.866,1.356,100.00
50000000,16,4.098786,2.345998,5.112,1.933,1.368,100.00
50000000,16,4.708991,2.497945,5.711,1.811,1.530,100.00
50000000,16,4.701363,2.414126,5.686,1.789,1.466,100.00
50000000,16,4.765885,2.561696,5.763,1.775,1.601,100.00
50000000,16,4.683877,2.500871,5.668,1.775,1.552,100.00
50000000,16,4.734898,2.541302,5.733,1.777,1.576,100.00
50000000,16,4.776361,2.487831,5.771,1.765,1.525,100.00
50000000,16,4.874172,2.533340,5.869,1.778,1.575,100.00
50000000,16,4.880189,2.585394,5.878,1.785,1.624,100.00
50000000,16,4.991648,2.650864,5.993,1.764,1.687,100.00
50000000,16,4.867121,2.591812,5.872,1.763,1.621,100.00
50000000,16,5.091987,2.583218,6.083,1.747,1.624,100.00
50000000,16,5.078160,2.671581,6.078,1.728,1.704,100.00
50000000,16,5.014601,2.611362,6.001,1.728,1.658,100.00
50000000,16,5.146008,2.660652,6.133,1.729,1.708,100.00
50000000,16,5.221605,2.665524,6.218,1.741,1.703,100.00
50000000,16,4.796406,2.618006,5.775,1.718,1.676,100.00
50000000,16,5.088361,2.592269,6.081,1.743,1.639,100.00
50000000,16,5.135877,2.697053,6.155,1.790,1.725,100.00
50000000,16,4.532274,2.005337,5.470,1.836,1.106,100.00
50000000,16,5.146406,2.643617,6.119,1.701,1.705,100.00
50000000,16,5.188480,2.706993,6.174,1.707,1.757,100.00
50000000,16,5.392766,2.699877,6.378,1.713,1.748,100.00
50000000,16,5.411833,2.761303,6.407,1.706,1.799,100.00
50000000,16,5.374188,2.718191,6.373,1.721,1.753,100.00
50000000,16,5.434050,2.735017,6.435,1.719,1.766,100.00
50000000,16,5.346026,2.719768,6.344,1.709,1.755,100.00
50000000,16,5.236775,2.745148,6.246,1.710,1.768,100.00
50000000,16,5.323607,2.712043,6.317,1.723,1.752,100.00
50000000,16,5.241899,2.709164,6.243,1.723,1.741,100.00
