dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000000,1,0.570837,1.113811,1.533,2.025,0.187,84.93
50000000,1,0.573181,1.135821,1.552,1.764,0.190,98.73
50000000,1,0.576387,1.116632,1.539,1.753,0.189,98.56
50000000,1,0.575472,1.138644,1.556,1.767,0.190,98.87
50000000,1,0.571343,1.130822,1.547,1.755,0.191,99.04
50000000,1,0.577428,1.111665,1.534,1.743,0.191,98.96
50000000,1,0.575765,1.118038,1.539,1.749,0.193,99.04
50000000,1,0.577049,1.092621,1.522,1.726,0.187,99.03
50000000,1,0.570397,1.119951,1.537,1.742,0.188,99.06
50000000,1,0.574351,1.103319,1.527,1.729,0.186,99.05
50000000,1,0.572993,1.133800,1.552,1.773,0.192,98.41
50000000,1,0.573303,1.104209,1.527,1.726,0.185,99.19
50000000,1,0.564783,1.103142,1.521,1.716,0.182,99.23
50000000,1,0.574145,1.109798,1.532,1.740,0.189,98.87
50000000,1,0.577387,1.112686,1.530,1.743,0.197,99.08
50000000,1,0.570479,1.107437,1.528,1.731,0.187,99.09
50000000,1,0.575729,1.118858,1.541,1.743,0.187,99.12
50000000,1,0.573876,1.100543,1.527,1.725,0.186,99.28
50000000,1,0.574136,1.112391,1.534,1.738,0.187,99.02
50000000,1,0.574117,1.096873,1.518,1.716,0.185,99.25
50000000,1,0.565172,1.103159,1.524,1.716,0.178,99.23
50000000,1,0.576284,1.096912,1.521,1.719,0.185,99.24
50000000,1,0.575161,1.114719,1.533,1.745,0.193,98.96
50000000,1,0.573451,1.105487,1.526,1.727,0.188,99.20
50000000,1,0.576849,1.105801,1.527,1.735,0.192,99.10
50000000,1,0.569315,1.128646,1.545,1.751,0.185,98.80
50000000,1,0.574212,1.106703,1.529,1.730,0.185,99.11
50000000,1,0.573671,1.120356,1.541,1.744,0.189,99.20
50000000,1,0.579368,1.126651,1.546,1.759,0.195,98.99
50000000,1,0.567338,1.111988,1.529,1.728,0.186,99.24
50000000,1,0.582009,1.121115,1.543,1.767,0.198,98.53
50000000,1,0.572686,1.113504,1.536,1.736,0.184,99.11
50000000,1,0.574822,1.124628,1.542,1.748,0.190,99.08
50000000,1,0.574421,1.126057,1.548,1.751,0.188,99.11
50000000,1,0.574066,1.105536,1.530,1.731,0.187,99.20
50000000,1,0.576181,1.155421,1.567,1.821,0.197,96.91
50000000,1,0.570554,1.105922,1.526,1.733,0.192,99.14
50000000,1,0.575336,1.117294,1.539,1.749,0.190,98.87
50000000,1,0.576727,1.125752,1.549,1.751,0.186,99.10
50000000,1,0.576364,1.109985,1.534,1.738,0.188,99.13
50000000,1,0.572707,1.108048,1.530,1.733,0.190,99.22
50000000,1,0.576565,1.112374,1.534,1.738,0.189,99.15
50000000,1,0.573401,1.136888,1.553,1.780,0.192,98.05
50000000,1,0.573938,1.109285,1.531,1.734,0.188,99.13
50000000,1,0.574457,1.106495,1.527,1.731,0.187,99.07
50000000,1,0.569937,1.102434,1.525,1.724,0.183,99.09
50000000,1,0.571402,1.120058,1.538,1.747,0.191,98.98
50000000,1,0.569751,1.118300,1.536,1.750,0.186,98.47
50000000,1,0.572863,1.109464,1.531,1.732,0.187,99.17
50000000,1,0.573251,1.120922,1.542,1.747,0.187,98.94
