dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000000,4,2.695708,1.706875,4.178,1.701,0.260,100.00
50000000,4,2.800127,1.745920,4.319,1.740,0.262,100.00
50000000,4,2.779548,1.704319,4.261,1.731,0.260,100.00
50000000,4,2.683992,1.724793,4.191,1.694,0.249,100.00
50000000,4,2.779340,1.715240,4.268,1.735,0.263,100.00
50000000,4,2.636856,1.718476,4.129,1.699,0.262,100.00
50000000,4,2.795218,1.704984,4.274,1.734,0.263,100.00
50000000,4,2.687407,1.707231,4.174,1.694,0.256,100.00
50000000,4,2.791591,1.694412,4.267,1.713,0.255,100.00
50000000,4,2.750673,1.707394,4.233,1.709,0.259,100.00
50000000,4,2.623856,1.743698,4.142,1.698,0.257,100.00
50000000,4,2.700898,1.708398,4.184,1.709,0.256,100.00
50000000,4,2.641967,1.707547,4.122,1.690,0.265,100.00
50000000,4,2.807641,1.731747,4.313,1.733,0.258,100.00
50000000,4,2.647300,1.707648,4.139,1.675,0.251,100.00
50000000,4,2.624760,1.710887,4.113,1.679,0.258,100.00
50000000,4,2.681083,1.708045,4.174,1.690,0.249,100.00
50000000,4,2.780816,1.724240,4.281,1.729,0.258,100.00
50000000,4,2.648169,1.726542,4.152,1.710,0.256,100.00
50000000,4,2.647141,1.706632,4.129,1.696,0.259,100.00
50000000,4,2.848954,1.693383,4.330,1.720,0.245,100.00
50000000,4,2.775728,1.716106,4.264,1.728,0.264,100.00
50000000,4,2.625938,1.707089,4.111,1.678,0.257,100.00
50000000,4,2.827227,1.582073,4.178,1.799,0.267,100.00
50000000,4,2.791328,1.712659,4.269,1.736,0.267,100.00
50000000,4,2.616186,1.732132,4.125,1.686,0.258,100.00
50000000,4,2.631592,1.710681,4.119,1.698,0.256,100.00
50000000,4,2.638498,1.727058,4.139,1.694,0.261,100.00
50000000,4,2.687573,1.694995,4.158,1.685,0.260,100.00
50000000,4,2.775179,1.720471,4.262,1.735,0.269,100.00
50000000,4,2.780914,1.725741,4.275,1.743,0.267,100.00
50000000,4,2.816596,1.709295,4.298,1.722,0.262,100.00
50000000,4,2.673673,1.730842,4.174,1.735,0.266,100.00
50000000,4,2.643161,1.704237,4.121,1.683,0.262,100.00
50000000,4,2.672452,1.699198,4.140,1.701,0.268,100.00
50000000,4,2.620181,1.704114,4.100,1.677,0.259,100.00
50000000,4,2.827311,1.733702,4.329,1.743,0.266,100.00
50000000,4,2.774150,1.696507,4.246,1.705,0.259,100.00
50000000,4,2.795284,1.720527,4.289,1.750,0.261,100.00
50000000,4,2.619084,1.718674,4.110,1.690,0.264,100.00
50000000,4,2.769277,1.720206,4.258,1.730,0.266,100.00
50000000,4,2.775923,1.700237,4.252,1.720,0.260,100.00
50000000,4,2.700786,1.720705,4.193,1.701,0.263,100.00
50000000,4,2.822215,1.693549,4.294,1.730,0.257,100.00
50000000,4,2.670353,1.704369,4.151,1.693,0.260,100.00
50000000,4,2.785668,1.706926,4.273,1.726,0.256,100.00
50000000,4,2.680789,1.732995,4.173,1.759,0.274,100.00
50000000,4,2.606126,1.707920,4.085,1.683,0.264,100.00
50000000,4,2.798518,1.697845,4.264,1.743,0.267,100.00
50000000,4,2.822684,1.697898,4.304,1.730,0.251,100.00
