dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000000,32,5.362916,2.711316,6.367,1.722,1.738,100.00
50000000,32,5.292031,2.728278,6.287,1.732,1.768,100.00
50000000,32,5.222434,2.720584,6.206,1.694,1.773,100.00
50000000,32,5.457349,2.767337,6.482,1.743,1.776,100.00
50000000,32,5.323472,2.748948,6.321,1.713,1.785,100.00
50000000,32,5.393693,2.692136,6.408,1.728,1.714,100.00
50000000,32,5.423833,2.698180,6.425,1.720,1.731,100.00
50000000,32,5.414337,2.719230,6.423,1.722,1.747,100.00
50000000,32,5.304078,2.704069,6.317,1.711,1.727,100.00
50000000,32,5.427552,2.699124,6.426,1.722,1.736,100.00
50000000,32,5.297132,2.704605,6.302,1.719,1.734,100.00
50000000,32,5.396533,2.768221,6.420,1.739,1.779,100.00
50000000,32,5.279526,2.738696,6.268,1.693,1.784,100.00
50000000,32,5.400967,2.729315,6.412,1.737,1.756,100.00
50000000,32,5.371649,2.731310,6.390,1.738,1.746,100.00
50000000,32,5.367089,2.710870,6.369,1.725,1.744,100.00
50000000,32,5.335414,2.722875,6.336,1.707,1.757,100.00
50000000,32,5.355295,2.508592,6.367,1.751,1.529,100.00
50000000,32,5.376076,2.742134,6.379,1.737,1.775,100.00
50000000,32,5.386980,2.694168,6.394,1.724,1.723,100.00
50000000,32,5.425823,2.710580,6.417,1.716,1.755,100.00
50000000,32,5.348270,2.734778,6.349,1.706,1.768,100.00
50000000,32,5.416119,2.710660,6.410,1.713,1.751,100.00
50000000,32,5.424953,2.712048,6.420,1.719,1.755,100.00
50000000,32,5.383798,2.616909,6.367,1.723,1.669,100.00
50000000,32,5.350901,2.619442,6.332,1.702,1.674,100.00
50000000,32,5.444655,2.736636,6.446,1.721,1.771,100.00
50000000,32,5.230105,2.744201,6.226,1.701,1.784,100.00
50000000,32,4.692478,2.417843,5.700,1.752,1.450,100.00
50000000,32,5.384706,2.735599,6.381,1.712,1.773,100.00
50000000,32,5.229675,2.615274,6.217,1.711,1.661,100.00
50000000,32,5.210036,2.634646,6.193,1.716,1.689,100.00
50000000,32,5.296967,2.498905,6.298,1.736,1.530,100.00
50000000,32,5.365605,2.699118,6.363,1.723,1.737,100.00
50000000,32,5.228629,2.694370,6.237,1.724,1.721,100.00
50000000,32,5.297258,2.651132,6.284,1.724,1.704,100.00
50000000,32,5.258169,2.661096,6.261,1.730,1.693,100.00
50000000,32,5.273039,2.630858,6.255,1.719,1.684,100.00
50000000,32,5.281233,2.587070,6.274,1.722,1.630,100.00
50000000,32,5.246987,2.650705,6.240,1.713,1.692,100.00
50000000,32,5.208811,2.720964,6.208,1.702,1.756,100.00
50000000,32,5.358999,2.589259,6.356,1.716,1.630,100.00
50000000,32,5.371991,2.727579,6.368,1.719,1.767,100.00
50000000,32,5.307365,2.724518,6.306,1.716,1.761,100.00
50000000,32,5.428432,2.710592,6.420,1.714,1.757,100.00
50000000,32,5.385112,2.689196,6.365,1.708,1.744,100.00
50000000,32,5.318532,2.694449,6.303,1.701,1.746,100.00
50000000,32,5.376549,2.689839,6.384,1.725,1.717,100.00
50000000,32,5.316911,2.702544,6.311,1.718,1.743,100.00
50000000,32,5.374601,2.692369,6.377,1.724,1.725,100.00
